name	lat	lon
DAAD	35.3313888888889	4.20444444444444
DAAE	36.7119444444444	5.06944444444444
DAAG	36.6938333333333	3.21455555555556
DAAJ	24.2930555555556	9.45194444444444
DAAP	26.7236111111111	8.61777777777778
DAAS	36.1786111111111	5.33
DAAT	22.8111111111111	5.45083333333333
DAAV	36.7944444444444	5.87361111111111
DABB	36.8222222222222	7.80944444444444
DABC	36.2852777777778	6.61916666666667
DABS	35.4326361111111	8.1256
DABT	35.7591666666667	6.3225
DAOB	35.3413888888889	1.46694444444444
DAOF	27.7	-8.16666666666667
DAOI	36.2169444444444	1.34
DAON	35.0152777777778	-1.45083333333333
DAOO	35.6272222222222	-0.611388888888889
DAOR	31.6505694444444	-2.25315277777778
DAOV	35.2169444444444	0.148333333333333
DAOY	33.7208333333333	1.09138888888889
DATG	19.5688888888889	5.74888888888889
DATM	21.375	0.923888888888889
DAUA	27.8391666666667	-0.185277777777778
DAUB	34.8016666666667	5.74166666666667
DAUE	30.5688888888889	2.86472222222222
DAUG	32.3816666666667	3.79944444444444
DAUH	31.6738888888889	6.14055555555556
DAUI	27.2536111111111	2.51083333333333
DAUK	33.06	6.08722222222222
DAUO	33.5130555555556	6.7825
DAUT	29.2411111111111	0.283611111111111
DAUU	31.9313888888889	5.40666666666667
DAUZ	28.0513888888889	9.64277777777778
DBBB	6.35638888888889	2.38333333333333
DBBO	11.0333333333333	0.983333333333333
DBBP	9.35713888888889	2.60925
DFCC	13.6552777777778	-2.32888888888889
DFEF	12.0333333333333	0.4
DFEG	14.45	-0.266666666666667
DFFD	12.3536666666667	-1.512
DFOD	12.4666666666667	-3.48333333333333
DFOG	10.3830555555556	-3.16888888888889
DFOO	11.1675	-4.32111111111111
DFOR	10.9833333333333	-4.93333333333333
DGAA	5.60441388888889	-0.167544444444444
DGLE	9.55726666666667	-0.863172222222222
DGLW	10.0538888888889	-2.47472222222222
DGSI	6.71458333333333	-1.59083333333333
DGTK	4.89598611111111	-1.77470833333333
DIAP	5.25450277777778	-3.92865555555556
DIBI	9.53333333333333	-6.46666666666667
DIBK	7.752375	-5.06770555555556
DIBN	9.26666666666667	-3.03333333333333
DIBU	8.01138888888889	-2.76472222222222
DIDK	6.6	-4.56666666666667
DIDL	6.79625	-6.47911111111111
DIKO	9.38758611111111	-5.55413333333333
DIMN	7.27096666666667	-7.58753333333333
DIOD	9.53771944444445	-7.56364444444444
DISG	7.96833333333333	-6.71083333333333
DISP	4.74762222222222	-6.66022777777778
DISS	4.93333333333333	-6.13333333333333
DITM	8.28972222222222	-7.67277777777778
DIYO	6.90578055555556	-5.36376111111111
DNAA	9.00679722222222	7.263175
DNAI	4.87215277777778	8.09357222222222
DNAK	7.24674444444444	5.30098055555556
DNBE	6.31653055555556	5.59894444444444
DNCA	4.97604722222222	8.3473
DNEN	6.47353888888889	7.55893333333333
DNES	5.62055555555556	5.19916666666667
DNFB	4.40501666666667	7.18111666666667
DNGO	10.29815	10.89905
DNIB	7.36240833333333	3.97833055555556
DNIL	8.44011666666667	4.49396944444445
DNIM	5.42715555555556	7.206025
DNJO	9.63981666666667	8.86906666666667
DNKA	10.6958694444444	7.32014722222222
